train data: small + change data
momentum
lambda = 0.500000
mu = 0
mu *= 0.9999batch_size = 256
batch_num = 1024
3 layers: 69-256-256-481, cost: 1.008940
756, cost: 0.552807
757, cost: 0.551629
758, cost: 0.551873
759, cost: 0.550184
760, cost: 0.550338
761, cost: 0.570378
762, cost: 0.566331
763, cost: 0.563289
764, cost: 0.561245
765, cost: 0.560507
766, cost: 0.557033
767, cost: 0.555909
768, cost: 0.556044
769, cost: 0.555344
770, cost: 0.555369
771, cost: 0.568338
772, cost: 0.567561
773, cost: 0.561882
774, cost: 0.558710
775, cost: 0.557419
776, cost: 0.557279
777, cost: 0.556043
778, cost: 0.554199
779, cost: 0.553235
780, cost: 0.553465
781, cost: 0.567406
782, cost: 0.562520
783, cost: 0.559391
784, cost: 0.559333
785, cost: 0.555909
786, cost: 0.554368
787, cost: 0.553125
788, cost: 0.553841
789, cost: 0.552747
790, cost: 0.550251
791, cost: 0.564552
792, cost: 0.562430
793, cost: 0.557740
794, cost: 0.555582
795, cost: 0.553749
796, cost: 0.554079
797, cost: 0.550745
798, cost: 0.549218
799, cost: 0.548577
800, cost: 0.548218
801, cost: 0.564135
802, cost: 0.560112
803, cost: 0.558576
804, cost: 0.555453
805, cost: 0.555131
806, cost: 0.550675
807, cost: 0.551287
808, cost: 0.549804
809, cost: 0.548684
810, cost: 0.549354
811, cost: 0.564610
812, cost: 0.562163
813, cost: 0.560156
814, cost: 0.558274
815, cost: 0.553375
816, cost: 0.555082
817, cost: 0.551079
818, cost: 0.549763
819, cost: 0.548849
820, cost: 0.548940
821, cost: 0.565446
822, cost: 0.561835
823, cost: 0.559856
824, cost: 0.556587
825, cost: 0.557020
826, cost: 0.554588
827, cost: 0.552155
828, cost: 0.552213
829, cost: 0.550222
830, cost: 0.550442
831, cost: 0.563593
832, cost: 0.561001
833, cost: 0.557240
834, cost: 0.557669
835, cost: 0.555938
836, cost: 0.552691
837, cost: 0.552679
838, cost: 0.549792
839, cost: 0.550690
840, cost: 0.548548
841, cost: 0.566282
842, cost: 0.564123
843, cost: 0.558727
844, cost: 0.557975
845, cost: 0.557542
846, cost: 0.554523
847, cost: 0.552106
848, cost: 0.552337
849, cost: 0.550484
850, cost: 0.548954
851, cost: 0.567960
852, cost: 0.560376
853, cost: 0.561406
854, cost: 0.556082
855, cost: 0.555653
856, cost: 0.553778
857, cost: 0.551993
858, cost: 0.552105
859, cost: 0.550339
860, cost: 0.549102
861, cost: 0.562419
862, cost: 0.559270
863, cost: 0.556206
864, cost: 0.553042
865, cost: 0.552678
866, cost: 0.550163
867, cost: 0.549348
868, cost: 0.548571
869, cost: 0.548248
870, cost: 0.544856
871, cost: 0.568243
872, cost: 0.563491
873, cost: 0.560998
874, cost: 0.561173
875, cost: 0.558452
876, cost: 0.555434
877, cost: 0.553277
878, cost: 0.553175
879, cost: 0.552965
880, cost: 0.548930
881, cost: 0.564807
882, cost: 0.559710
883, cost: 0.556973
884, cost: 0.555975
885, cost: 0.554520
886, cost: 0.551804
887, cost: 0.549749
888, cost: 0.548853
889, cost: 0.547186
890, cost: 0.548324
891, cost: 0.562676
892, cost: 0.556717
893, cost: 0.554818
894, cost: 0.553426
895, cost: 0.550724
896, cost: 0.552739
897, cost: 0.550501
898, cost: 0.548191
899, cost: 0.549967
900, cost: 0.547415
901, cost: 0.561804
902, cost: 0.559619
903, cost: 0.554781
904, cost: 0.552771
905, cost: 0.553288
906, cost: 0.549505
907, cost: 0.549604
908, cost: 0.547584
909, cost: 0.547042
910, cost: 0.544167
911, cost: 0.563399
912, cost: 0.557963
913, cost: 0.557998
914, cost: 0.556037
915, cost: 0.553077
916, cost: 0.550234
917, cost: 0.551057
918, cost: 0.549400
919, cost: 0.546363
920, cost: 0.547702
921, cost: 0.560517
922, cost: 0.556459
923, cost: 0.553150
924, cost: 0.553729
925, cost: 0.549438
926, cost: 0.547333
927, cost: 0.545108
928, cost: 0.547213
929, cost: 0.544180
930, cost: 0.542730
931, cost: 0.560957
932, cost: 0.559226
933, cost: 0.556057
934, cost: 0.553451
935, cost: 0.549751
936, cost: 0.548390
937, cost: 0.547643
938, cost: 0.546057
939, cost: 0.545560
940, cost: 0.544806
941, cost: 0.562385
942, cost: 0.555935
943, cost: 0.555876
944, cost: 0.553500
945, cost: 0.551614
946, cost: 0.551159
947, cost: 0.549011
948, cost: 0.548260
949, cost: 0.545779
950, cost: 0.546103
951, cost: 0.564883
952, cost: 0.558905
953, cost: 0.557032
954, cost: 0.554972
955, cost: 0.553071
956, cost: 0.551528
957, cost: 0.549143
958, cost: 0.547478
959, cost: 0.548213
960, cost: 0.546120
961, cost: 0.552888
962, cost: 0.550725
963, cost: 0.547064
964, cost: 0.544116
965, cost: 0.542275
966, cost: 0.543216
967, cost: 0.539415
968, cost: 0.539424
969, cost: 0.537323
970, cost: 0.537668
971, cost: 0.560967
972, cost: 0.557363
973, cost: 0.552547
974, cost: 0.551118
975, cost: 0.549669
976, cost: 0.549251
977, cost: 0.547306
978, cost: 0.544367
979, cost: 0.543130
980, cost: 0.542023
981, cost: 0.561845
982, cost: 0.555102
983, cost: 0.555753
984, cost: 0.551161
985, cost: 0.551873
986, cost: 0.549156
987, cost: 0.547622
988, cost: 0.545767
989, cost: 0.545908
990, cost: 0.544469
991, cost: 0.562469
992, cost: 0.558262
993, cost: 0.555841
994, cost: 0.551504
995, cost: 0.551495
996, cost: 0.549261
997, cost: 0.549071
998, cost: 0.547599
999, cost: 0.544880
1000, cost: 0.543232
It cost 548.009090 mins
