iteration,cost
1340,1.757798
1341,1.771029
1342,1.759358
1343,1.757907
1344,1.768497
1345,1.763251
1346,1.751526
1347,1.756509
1348,1.759351
1349,1.772883
1350,1.760033
1351,1.759978
1352,1.749548
1353,1.760291
1354,1.764919
1355,1.751203
1356,1.758557
1357,1.763843
1358,1.758559
1359,1.757424
1360,1.764090
1361,1.771504
1362,1.778441
1363,1.756370
1364,1.757563
1365,1.760697
1366,1.758263
1367,1.739542
1368,1.740136
1369,1.762656
1370,1.757948
1371,1.736817
1372,1.754134
1373,1.770513
1374,1.742718
1375,1.764852
1376,1.737878
1377,1.754377
1378,1.754017
1379,1.734953
1380,1.751243
1381,1.734240
1382,1.758460
1383,1.762316
1384,1.761070
1385,1.750770
1386,1.744495
1387,1.760174
1388,1.782272
1389,1.739761
1390,1.748191
1391,1.742372
1392,1.757169
1393,1.755718
1394,1.751013
1395,1.738401
1396,1.760437
1397,1.761871
1398,1.754862
1399,1.742706
1400,1.745269
1401,1.740832
1402,1.762634
1403,1.753674
1404,1.754915
1405,1.754785
1406,1.763049
1407,1.738028
1408,1.754251
1409,1.750149
1410,1.751758
1411,1.746290
1412,1.738743
1413,1.757757
1414,1.740813
1415,1.744974
1416,1.736618
1417,1.753194
1418,1.758401
1419,1.744869
1420,1.730414
1421,1.744431
1422,1.733950
1423,1.748823
1424,1.727558
1425,1.744214
1426,1.747912
1427,1.741421
1428,1.740214
1429,1.744329
1430,1.746186
1431,1.737224
1432,1.741871
1433,1.743709
1434,1.744824
1435,1.754351
1436,1.738552
1437,1.755331
1438,1.743745
1439,1.756658
1440,1.753350
1441,1.730779
1442,1.731370
1443,1.746933
1444,1.731395
1445,1.748650
1446,1.741942
1447,1.753110
1448,1.749618
1449,1.747870
1450,1.734394
1451,1.749935
1452,1.755140
1453,1.753679
1454,1.746326
1455,1.733573
1456,1.733518
1457,1.752322
1458,1.743146
1459,1.727941
1460,1.742778
1461,1.739471
1462,1.720283
1463,1.727524
1464,1.735192
1465,1.736860
1466,1.726860
1467,1.755201
1468,1.724996
1469,1.738996
1470,1.739488
1471,1.722255
1472,1.723187
1473,1.752301
1474,1.744384
